rmsd	tmscore
2.2	0.70955
2.12	0.71682
2.36	0.72252
2.41	0.73585
2.28	0.70586
2.13	0.72139
2.2	0.71406
2.23	0.74192
2.39	0.70768
2.42	0.71915
2.1	0.74281
2.24	0.70682
2.17	0.7387
2.05	0.74999
2.0	0.75044
2.07	0.73592
2.05	0.73864
2.29	0.74134
2.17	0.7467
2.47	0.70771
2.26	0.73593
2.25	0.72805
2.28	0.75558
2.08	0.72493
2.1	0.73216
1.93	0.74525
2.08	0.73331
2.32	0.74276
2.33	0.72615
2.01	0.74591
1.92	0.7541
2.37	0.73472
2.35	0.72585
2.03	0.74341
2.05	0.73913
2.28	0.73497
2.36	0.72742
2.34	0.72448
2.11	0.71667
2.29	0.75536
2.08	0.73884
1.95	0.74983
2.29	0.71618
2.06	0.72975
2.24	0.73729
2.22	0.71661
2.4	0.70284
2.02	0.73372
2.3	0.7107
2.12	0.73099
2.06	0.73896
2.32	0.73948
1.98	0.74813
2.14	0.72272
2.02	0.73746
2.05	0.73891
2.14	0.73032
2.24	0.72918
2.45	0.71952
2.26	0.7501
2.17	0.73558
2.16	0.73005
2.02	0.74832
2.11	0.74156
2.21	0.74041
2.1	0.73927
2.04	0.74394
2.04	0.74012
2.22	0.74556
2.17	0.73251
2.16	0.74361
2.09	0.75191
2.31	0.73765
1.94	0.74817
2.08	0.7523
2.08	0.75206
2.04	0.75261
2.03	0.75754
2.1	0.73698
2.12	0.74537
2.41	0.70285
2.05	0.74259
2.04	0.72846
2.15	0.74023
1.96	0.74703
2.19	0.72973
1.87	0.75223
2.05	0.75243
2.04	0.7526
2.13	0.73154
1.78	0.76068
1.89	0.75537
1.78	0.74863
1.99	0.74555
2.1	0.73522
2.09	0.74517
2.28	0.7186
2.1	0.73545
2.29	0.72206
1.87	0.75149
1.67	0.75107
2.11	0.72419
1.96	0.74344
2.14	0.71441
2.06	0.72301
2.02	0.73687
2.21	0.72695
2.13	0.72283
1.92	0.75197
2.1	0.73776
2.15	0.73493
2.02	0.74178
2.18	0.73538
1.97	0.74435
1.89	0.75449
2.0	0.75568
1.91	0.75225
2.03	0.74737
1.98	0.7527
2.33	0.71073
2.07	0.74604
1.86	0.75368
1.86	0.7397
2.08	0.74488
2.04	0.74852
2.16	0.75016
2.09	0.73228
2.07	0.7496
1.93	0.75137
1.9	0.75571
2.22	0.72019
2.08	0.75088
1.99	0.75061
2.1	0.7286
1.85	0.75454
1.78	0.7614
1.87	0.75283
1.86	0.75226
