design;pore_hydro;surf_hydro;all_hydro;beta_prop;category
sol_13_0013_6.fasta;1.5906249999999995;-2.6589743589743597;-0.809174311926606;na;medref_soluble
sol_13_0017_2.fasta;2.003125;-2.738461538461539;-0.7495412844036697;na;medref_soluble
sol_13_0017_8.fasta;2.08125;-2.325641025641026;-0.5862385321100918;na;medref_soluble
sol_13_0057_0.fasta;1.6375;-1.1564102564102565;-0.39082568807339435;na;medref_soluble
sol_13_0073_7.fasta;2.034375;-1.6538461538461537;-0.17981651376146793;na;medref_soluble
sol_13_0074_4.fasta;1.6500000000000001;-2.071794871794872;-0.6825688073394496;na;medref_soluble
sol_14_0006_4.fasta;1.68125;-1.376923076923077;-0.3917431192660549;na;medref_soluble
sol_14_0048_4.fasta;1.8031250000000003;-1.5487179487179488;-0.49541284403669716;na;medref_soluble
sol_14_0065_2.fasta;1.8625000000000003;-2.087179487179488;-0.6284403669724771;na;medref_soluble
sol_14_0065_8.fasta;1.7593750000000004;-2.3384615384615395;-0.7816513761467897;na;medref_soluble
sol_14_0079_4.fasta;1.7968750000000002;-1.6794871794871795;-0.44311926605504576;na;medref_soluble
sol_15_0035_6.fasta;1.496875;-2.294871794871795;-0.7045871559633027;na;medref_soluble
sol_15_0046_4.fasta;2.259375;-2.4410256410256412;-0.5440366972477064;na;medref_soluble
sol_15_0050_4.fasta;1.99375;-1.4512820512820512;-0.24954128440366946;na;medref_soluble
sol_15_0057_7.fasta;2.021875;-2.0666666666666664;-0.5614678899082568;na;medref_soluble
sol_15_0058_2.fasta;2.2;-1.6256410256410256;-0.21559633027522937;na;medref_soluble
sol_15_0058_8.fasta;2.4000000000000004;-1.6256410256410256;-0.1403669724770642;na;medref_soluble
sol_15_0059_5.fasta;1.63125;-2.3358974358974365;-0.8110091743119268;na;medref_soluble
sol_15_0098_0.fasta;1.75;-1.8179487179487188;-0.37155963302752276;na;medref_soluble
sol_16_0044_2.fasta;1.884375;-2.053846153846154;-0.3119266055045871;na;medref_soluble
sol_16_0044_8.fasta;1.8624999999999998;-2.171794871794872;-0.36055045871559616;na;medref_soluble
sol_16_0057_1.fasta;1.2937500000000002;-1.941025641025642;-0.6155963302752294;na;medref_soluble
sol_17_0016_6.fasta;1.675;-2.5538461538461545;-0.950458715596331;na;medref_soluble
sol_17_0020_5.fasta;1.8687500000000006;-2.5307692307692315;-0.5935779816513761;na;medref_soluble
sol_17_0050_0.fasta;2.109375;-1.9820512820512828;-0.6357798165137618;na;medref_soluble
sol_17_0052_0.fasta;2.5124999999999997;-1.2230769230769236;0.040366972477064174;na;medref_soluble
